iter	RMSE
201	5.022723903
202	4.999948808
203	4.979891882
204	4.952024702
205	4.925773464
206	4.904779458
207	4.889317014
208	4.858796507
209	4.837252914
210	4.808030812
211	4.78411017
212	4.756295578
213	4.738702839
214	4.721743341
215	4.688507427
216	4.659513869
217	4.634860999
218	4.607899099
219	4.585193932
220	4.552435658
221	4.527870437
222	4.513229729
223	4.492732167
224	4.486290157
225	4.464503685
226	4.434992296
227	4.407099614
228	4.39479099
229	4.36553138
230	4.344325308
231	4.317106825
232	4.295560187
233	4.287163857
234	4.266290227
235	4.235227807
236	4.2172966
237	4.193221336
238	4.174675777
239	4.146647462
240	4.128196943
241	4.104436167
242	4.085502527
243	4.063837824
244	4.05387743
245	4.034595148
246	4.029331843
247	4.005670502
248	3.985512743
249	3.968430752
250	3.958039514
251	3.95004913
252	3.943399974
253	3.936546583
254	3.917045062
255	3.892402903
256	3.880806526
257	3.874850522
258	3.864739606
259	3.854847834
260	3.826333954
261	3.804258771
262	3.799262659
263	3.790826515
264	3.785150765
265	3.778676664
266	3.75501009
267	3.748898094
268	3.744298092
269	3.737727531
270	3.731498435
271	3.704450589
272	3.698291548
273	3.670198632
274	3.664158065
275	3.658534746
276	3.638546733
277	3.623715514
278	3.617833892
279	3.613036776
280	3.606418257
281	3.600987752
282	3.595254438
283	3.573497752
284	3.568476198
285	3.564040705
286	3.558153361
287	3.553463512
288	3.549162624
289	3.528544193
290	3.523057495
291	3.518004599
292	3.493990007
293	3.486421253
294	3.482588863
295	3.459089523
296	3.450186766
297	3.435116779
298	3.429849609
299	3.412434164
300	3.389691666
301	3.385953697
302	3.38200697
303	3.376925767
304	3.372580127
305	3.363476804
306	3.35850993
307	3.344111871
308	3.33922526
309	3.316944752
310	3.304949206
311	3.291033255
312	3.287505683
313	3.282768933
314	3.269483503
315	3.264824505
316	3.260359135
317	3.256976199
318	3.246734843
319	3.243502418
320	3.23888138
321	3.217409593
322	3.198406366
323	3.185441068
324	3.181006555
325	3.176628978
326	3.164286818
327	3.152694408
328	3.144255538
329	3.129642412
330	3.125006441
331	3.1042354
332	3.101123996
333	3.079434237
334	3.074932502
335	3.070717381
336	3.05599183
337	3.051588049
338	3.037107731
339	3.032967735
340	3.028340857
341	3.014764402
342	3.010145945
343	3.004326386
344	2.983556281
345	2.977846914
346	2.955062237
347	2.933871461
348	2.914090201
349	2.905251781
350	2.89974901
351	2.894935117
352	2.877619205
353	2.861106269
354	2.856851383
355	2.852650323
356	2.832696775
357	2.818768155
358	2.802680816
359	2.799989941
360	2.785013357
361	2.782353417
362	2.769330907
363	2.766707105
364	2.764122713
365	2.749692983
366	2.747138226
367	2.734549885
368	2.718473459
369	2.715949127
370	2.71215163
371	2.699973146
372	2.69750178
373	2.690554949
374	2.678473512
375	2.676052781
376	2.659891387
377	2.656154803
378	2.640667639
379	2.638288805
380	2.635945569
381	2.621414304
382	2.617834906
383	2.609722947
384	2.606184293
385	2.585473929
386	2.572343434
387	2.561896097
388	2.558459453
389	2.54799233
390	2.544652159
391	2.52780997
392	2.519031026
393	2.504620239
394	2.494921699
395	2.484997233
396	2.472268624
397	2.460043481
398	2.448302778
399	2.429481799
400	2.410752141
401	2.392570225
402	2.37949527
403	2.373927159
404	2.363263551
405	2.34781544
406	2.342393211
407	2.333516553
408	2.318515652
409	2.31087749
410	2.296257558
411	2.289681053
412	2.281515067
413	2.264212769
414	2.260838084
415	2.244419058
416	2.230522271
417	2.223334196
418	2.209790747
419	2.203797024
420	2.195291431
421	2.187804593
422	2.185106487
423	2.178530016
424	2.16633065
425	2.158223778
426	2.155180922
427	2.152590405
428	2.140754561
429	2.13820947
430	2.122191736
431	2.107714668
432	2.099628504
433	2.089160764
434	2.081968595
435	2.071788338
436	2.060838292
437	2.058042252
438	2.050526872
439	2.041843372
440	2.039121844
441	2.031447413
442	2.024597322
443	2.017385817
444	2.00891235
445	1.995948176
446	1.989355607
447	1.982434072
448	1.9705936
449	1.964283875
450	1.955335475
451	1.946615166
452	1.935176441
453	1.927081036
454	1.91750213
455	1.909584532
456	1.900248916
457	1.891124417
458	1.883503158
459	1.874613557
460	1.865789981
461	1.858437912
462	1.849805735
463	1.84246265
464	1.833236133
465	1.826027736
466	1.816508616
467	1.8074961
468	1.800488832
469	1.7935328
470	1.784394795
471	1.775712941
472	1.76721876
473	1.759434057
474	1.751552759
475	1.744108331
476	1.736789917
477	1.734920124
478	1.72860275
479	1.722363369
480	1.716250921
481	1.707842219
482	1.702161773
483	1.696013071
484	1.691203199
485	1.684375432
486	1.678546589
487	1.671855796
488	1.667438324
489	1.660947084
490	1.652616911
491	1.644787965
492	1.634111111
493	1.629533986
494	1.623267492
495	1.616028864
496	1.609824867
497	1.600391039
498	1.594312853
499	1.588246773
500	1.5865501	1.501	1.5798502	1.502	1.5740503	1.503	1.5666504	1504	1.56122505	1505	1.5559506	1.506	1.5468507	1.507	1.539508	1.4508	1.533509	1.405429924
510	1.40256559
511	1.397182547
512	1.395855607
513	1.390998762
514	1.386973023
515	1.384941472
516	1.37707428
517	1.375729734
518	1.371548082
519	1.363904907
520	1.357834249
521	1.356397697
522	1.348068378
523	1.342532459
524	1.336374021
525	1.334806296
526	1.330519774
527	1.322550023
528	1.316979306
529	1.309890653
530	1.304838102
531	1.297655519
532	1.296449229
533	1.292199479
534	1.286040546
535	1.284536865
536	1.282777996
537	1.278651236
538	1.276618924
539	1.268981747
540	1.261905304
541	1.254781566
542	1.250974478
543	1.24531631
544	1.241953063
545	1.238441495
546	1.231288748
547	1.229093842
548	1.222861703
549	1.217132039
550	1.212359233
551	1.207832671
552	1.203718624
553	1.19720853
554	1.191338083
555	1.189882149
556	1.183240335
557	1.178500733
558	1.171061531
559	1.169324851
560	1.161148641
561	1.155437126
562	1.151873612
563	1.14703287
564	1.144244687
565	1.142792086
566	1.141190721
567	1.135482162
568	1.13414378
569	1.129739002
570	1.128098765
571	1.122395054
572	1.115997079
573	1.11175034
574	1.110061987
575	1.104685843
576	1.100014553
577	1.098729849
578	1.097579684
579	1.092346347
580	1.088175324
581	1.083613227
582	1.077651454
583	1.073360546
584	1.069399793
585	1.064624476
586	1.059756612
587	1.055820596
588	1.05026183
589	1.047033718
590	1.042720848
591	1.035363827
592	1.028489443
593	1.024760416
594	1.02008268
595	1.018560282
596	1.015944845
597	1.010454947
598	1.006190689
599	1.000136183
600	0.9962475176
601	0.9919316341
602	0.9871230957
603	0.9803872597
604	0.9763033081
605	0.9724556824
606	0.9680129665
607	0.9620977575
608	0.9576969179
609	0.956963117
610	0.9551702259
611	0.9482951983
612	0.9436768234
613	0.9392121927
614	0.9356009401
615	0.9304163149
616	0.9252267728
617	0.9203255094
618	0.9158965472
619	0.9130492432
620	0.9088570746
621	0.9063240097
622	0.9018260948
623	0.9001959484
624	0.8944521368
625	0.8910721927
626	0.8875747963
627	0.8819253887
628	0.8767060462
629	0.8747000562
630	0.8740332749
631	0.8728817149
632	0.8688127565
633	0.8643855878
634	0.8603391139
635	0.8555803973
636	0.8513934604
637	0.8479825344
638	0.8417205406
639	0.8382428914
640	0.8352412953
641	0.832164883
642	0.8281942009
643	0.8251087042
644	0.8223988431
645	0.8192294068
646	0.8183392171
647	0.8153607429
648	0.813560313
649	0.8115175661
650	0.8082300169
651	0.8060455922
652	0.8053524347
653	0.8020342917
654	0.7999277419
655	0.7959879611
656	0.7942905903
657	0.7903438328
658	0.7855335004
659	0.781742839
660	0.778571462
661	0.7758382428
662	0.7716713012
663	0.7675385684
664	0.7668306203
665	0.7626894013
666	0.7615088431
667	0.7593246509
668	0.7587446269
669	0.7551032962
670	0.7523653452
671	0.7506412152
672	0.7489875767
673	0.7455976586
674	0.742602319
675	0.7389316688
676	0.7359446219
677	0.7352287939
678	0.7343317631
679	0.7325772665
680	0.7291262657
681	0.7248393187
682	0.7201082501
683	0.7186267996
684	0.7138231249
685	0.7106044098
686	0.7094797409
687	0.7063354667
688	0.7027698846
689	0.7023323271
690	0.7001220099
691	0.6971199515
692	0.6943094799
693	0.6912339751
694	0.6905097909
695	0.6893106788
696	0.6880456368
697	0.6852505914
698	0.6830644268
699	0.6810917554
700	0.6790453524
701	0.6759294055
702	0.6734167124
703	0.6692959142
704	0.6664084029
705	0.6628899294
706	0.6592646564
707	0.6561960182
708	0.6552163321
709	0.651577255
710	0.6489178222
711	0.6468605917
712	0.6453512219
713	0.6423069472
714	0.6411072948
715	0.6380927149
716	0.6375323366
717	0.6349880482
718	0.6342664885
719	0.6308911558
720	0.6302080181
721	0.626891177
722	0.624097649
723	0.6208884649
724	0.6183745858
725	0.6154683165
726	0.6131643545
727	0.6104770019
728	0.6074041774
729	0.6048805798
730	0.604269184
731	0.6013325126
732	0.6006866612
733	0.5973004778
734	0.5941965898
735	0.5919998873
736	0.5895806861
737	0.5868442641
738	0.5844331205
739	0.5819355053
740	0.5784908606
741	0.5763779347
742	0.5732939488
743	0.5709443756
744	0.5692079155
745	0.5679044836
746	0.5651186021
747	0.5644337748
748	0.5622822492
749	0.5616838325
750	0.5594692656
751	0.5575064986
752	0.5564660033
753	0.5533947277
754	0.5509327713
755	0.5485848591
756	0.5457646378
757	0.543570531
758	0.5424359093
759	0.5410769451
760	0.5386860854
761	0.5359188873
762	0.533360303
763	0.530877555
764	0.5289680485
765	0.5267305204
766	0.5236810868
767	0.5212184291
768	0.5208026045
769	0.5181875577
770	0.5157198622
771	0.5125201206
772	0.5112781475
773	0.5091208183
774	0.5063041904
775	0.5043073389
776	0.502354164
777	0.5001664875
778	0.4984817029
779	0.4954793093
780	0.4933293641
781	0.4902188351
782	0.4888152905
783	0.4867351871
784	0.4850241753
785	0.4822920831
786	0.4799940094
787	0.4774170465
788	0.4768937733
789	0.4750953154
790	0.4727667256
791	0.4703654865
792	0.4674036478
793	0.4650592903
794	0.4632257234
795	0.4608777344
796	0.4582417622
797	0.4571190937
798	0.4555036688
799	0.4545425564
800	0.4527962443
801	0.4501587559
802	0.4488356521
803	0.4460445996
804	0.4439772717
805	0.4418819807
806	0.4403478269
807	0.4383222659
808	0.4374345846
809	0.4354567121
810	0.4323161708
811	0.4297861263
812	0.4283738155
813	0.4265334682
814	0.4245371165
815	0.4230044213
816	0.4212145664
817	0.4205771676
818	0.418775108
819	0.4161785054
820	0.4135201485
821	0.410670043
822	0.4104064286
823	0.4082404774
824	0.4063314745
825	0.4042350753
826	0.4019687353
827	0.400519626
828	0.3985818994
829	0.396554662
830	0.3948827273
831	0.3933299737
832	0.3925289819
833	0.3907563091
834	0.389331922
835	0.387601432
836	0.3857097994
837	0.3843641377
838	0.3840504146
839	0.3827396961
840	0.3810639933
841	0.3785250764
842	0.3766849265
843	0.3750529316
844	0.3746813175
845	0.3742169931
846	0.3739070342
847	0.3723051749
848	0.3720125374
849	0.3707258494
850	0.3695641476
851	0.3673603011
852	0.3666807831
853	0.366400688
854	0.3655002432
855	0.3634521601
856	0.3616908351
857	0.3612332767
858	0.359521559
859	0.3579864754
860	0.3563847133
861	0.3561258929
862	0.3541504117
863	0.353896761
864	0.3526117458
865	0.3512783787
866	0.3496330316
867	0.3472951828
868	0.3458111061
869	0.3442808262
870	0.3431748423
871	0.3413576105
872	0.3406949154
873	0.3391181201
874	0.3388073143
875	0.3375818865
876	0.3358598101
877	0.3352155415
878	0.3332327349
879	0.3324151242
880	0.3310056304
881	0.3286948883
882	0.32767481
883	0.3272999378
884	0.325908351
885	0.3253606216
886	0.3238571035
887	0.3232044357
888	0.321661929
889	0.320303577
890	0.3188222887
891	0.3167386432
892	0.3153962689
893	0.314003284
894	0.3124154189
895	0.3104580176
896	0.3094975994
897	0.309190336
898	0.307098532
899	0.3061310744
900	0.3055866862
901	0.3051012555
902	0.3035864885
903	0.3021501159
904	0.3019266854
905	0.3017564662
906	0.3002056445
907	0.2989817864
908	0.2976030008
909	0.2972771659
910	0.2967291449
911	0.294928792
912	0.2943287459
913	0.2927397011
914	0.2913934716
915	0.2900925061
916	0.2888001316
917	0.2874713444
918	0.2872791435
919	0.2869764647
920	0.2867519859
921	0.2851642557
922	0.284206227
923	0.2836206888
924	0.2833872177
925	0.2824922021
926	0.2822840495
927	0.2820522177
928	0.2806498983
929	0.2792401558
930	0.2775497843
931	0.2773249371
932	0.2761379836
933	0.2749375756
934	0.2736894466
935	0.2723011673
936	0.2721450844
937	0.2714813298
938	0.2697955916
939	0.2687533289
940	0.2681590422
941	0.2667526228
942	0.2659970912
943	0.2649336233
944	0.2639775422
945	0.2627788047
946	0.2621815425
947	0.2608635293
948	0.259705037
949	0.2584551968
950	0.2574182239
951	0.2559865743
952	0.2546883931
953	0.2536954134
954	0.2524261097
955	0.2515453388
956	0.2513604415
957	0.2502180304
958	0.2496472456
959	0.2487675448
960	0.2476253729
961	0.247286914
962	0.2465415111
963	0.2456039196
964	0.2454297659
965	0.2446990907
966	0.244141267
967	0.2439362493
968	0.2433021045
969	0.2423794093
970	0.2422353996
971	0.2406719712
972	0.23991205
973	0.2386032629
974	0.2370274509
975	0.23659377
976	0.2363206311
977	0.2348885181
978	0.2341599336
979	0.2333290804
980	0.2323585781
981	0.2316192433
982	0.2308843041
983	0.2296935966
984	0.2285738198
985	0.2279580658
986	0.2275407108
987	0.226086074
988	0.2252720569
989	0.2242750318
990	0.2241778173
991	0.2231356511
992	0.2223731471
993	0.22118443
994	0.219957962
995	0.2192511786
996	0.2187251411
997	0.2183031168
998	0.2178906539
999	0.2169599528
016208
532
997	0.1699124479
998	0.1691905523
999	0.1683387485
