iter	Passed	Remaining
421	2471	3384
422	2474	3376
423	2479	3367
424	2486	3364
425	2492	3358
426	2498	3352
427	2505	3348
428	2509	3340
429	2515	3333
430	2522	3329
431	2528	3324
432	2535	3319
433	2539	3311
434	2543	3304
435	2548	3296
436	2553	3290
437	2558	3283
438	2562	3275
439	2567	3267
440	2572	3260
441	2580	3258
442	2585	3251
443	2589	3243
444	2594	3235
445	2599	3228
446	2604	3222
447	2610	3216
448	2616	3211
449	2625	3209
450	2630	3202
451	2635	3194
452	2643	3191
453	2654	3191
454	2660	3187
455	2665	3180
456	2671	3174
457	2677	3168
458	2699	3182
459	2710	3182
460	2714	3174
461	2719	3166
462	2722	3157
463	2727	3150
464	2731	3142
465	2736	3135
466	2743	3130
467	2747	3122
468	2751	3115
469	2758	3111
470	2762	3102
471	2767	3095
472	2776	3093
473	2782	3087
474	2788	3082
475	2799	3081
476	2807	3078
477	2815	3074
478	2823	3070
479	2828	3064
480	2832	3056
481	2836	3048
482	2840	3040
483	2843	3031
484	2847	3023
485	2852	3016
486	2856	3008
487	2860	3000
488	2863	2992
489	2867	2984
490	2874	2980
491	2880	2974
492	2887	2969
493	2899	2969
494	2903	2962
495	2910	2957
496	2915	2951
497	2923	2947
498	2928	2500	499	2933	2501	3039	3015
502	3044	3008
503	3049	3001
504	3053	2993
505	3057	2985
506	3063	2978
507	3070	2974
508	3076	2967
509	3081	2960
510	3085	2952
511	3094	2949
512	3100	2943
513	3106	2936
514	3109	2928
515	3114	2921
516	3117	2912
517	3124	2907
518	3139	2909
519	3146	2904
520	3152	2898
521	3157	2891
522	3162	2884
523	3166	2876
524	3170	2868
525	3174	2860
526	3183	2856
527	3189	2851
528	3195	2845
529	3200	2838
530	3204	2830
531	3213	2826
532	3218	2820
533	3223	2812
534	3228	2805
535	3232	2798
536	3237	2791
537	3243	2785
538	3247	2777
539	3252	2770
540	3257	2764
541	3261	2755
542	3264	2747
543	3268	2739
544	3271	2731
545	3275	2723
546	3279	2715
547	3282	2707
548	3285	2699
549	3289	2691
550	3292	2683
551	3296	2675
552	3300	2667
553	3305	2660
554	3309	2653
555	3312	2645
556	3316	2637
557	3320	2630
558	3324	2622
559	3327	2614
560	3331	2607
561	3335	2599
562	3338	2591
563	3342	2583
564	3345	2575
565	3348	2567
566	3352	2560
567	3355	2551
568	3358	2543
569	3362	2536
570	3364	2528
571	3368	2520
572	3372	2513
573	3375	2505
574	3378	2497
575	3383	2490
576	3387	2483
577	3392	2476
578	3395	2468
579	3398	2461
580	3402	2454
581	3406	2446
582	3410	2439
583	3414	2432
584	3418	2425
585	3422	2417
586	3427	2411
587	3431	2404
588	3435	2397
589	3440	2390
590	3445	2384
591	3449	2377
592	3452	2369
593	3456	2362
594	3461	2355
595	3465	2349
596	3469	2342
597	3474	2335
598	3479	2329
599	3483	2322
600	3488	2315
601	3492	2309
602	3497	2302
603	3501	2295
604	3506	2289
605	3510	2282
606	3514	2275
607	3518	2268
608	3522	2261
609	3527	2255
610	3531	2248
611	3536	2242
612	3541	2235
613	3546	2229
614	3551	2223
615	3557	2217
616	3564	2212
617	3572	2208
618	3584	2206
619	3592	2202
620	3598	2196
621	3604	2190
622	3610	2184
623	3616	2179
624	3623	2174
625	3627	2167
626	3631	2160
627	3634	2153
628	3641	2147
629	3645	2140
630	3649	2133
631	3654	2127
632	3658	2121
633	3675	2121
634	3689	2120
635	3701	2118
636	3712	2115
637	3721	2111
638	3728	2106
639	3736	2101
640	3742	2096
641	3749	2090
642	3757	2086
643	3763	2080
644	3772	2076
645	3780	2071
646	3787	2066
647	3797	2062
648	3805	2058
649	3814	2054
650	3820	2048
651	3828	2043
652	3841	2041
653	3851	2037
654	3858	2032
655	3864	2026
656	3876	2023
657	3888	2021
658	3896	2016
659	3909	2013
660	3915	2008
661	3922	2002
662	3926	1995
663	3934	1991
664	3939	1984
665	3944	1978
666	3952	1973
667	3959	1967
668	3970	1964
669	3978	1959
670	3986	1954
671	3995	1950
672	4003	1945
673	4010	1940
674	4018	1934
675	4023	1928
676	4034	1924
677	4040	1918
678	4047	1913
679	4053	1907
680	4059	1901
681	4065	1895
682	4080	1894
683	4091	1890
684	4103	1886
685	4108	1880
686	4113	1874
687	4119	1867
688	4124	1861
689	4130	1855
690	4135	1849
691	4141	1843
692	4146	1836
693	4152	1831
694	4159	1825
695	4164	1819
696	4170	1812
697	4176	1807
698	4179	1799
699	4187	1794
700	4192	1788
701	4197	1781
702	4203	1775
703	4210	1770
704	4214	1763
705	4221	1757
706	4228	1752
707	4237	1747
708	4244	1742
709	4250	1736
710	4257	1730
711	4265	1725
712	4273	1719
713	4280	1714
714	4287	1708
715	4293	1703
716	4301	1697
717	4308	1692
718	4312	1685
719	4318	1679
720	4322	1672
721	4330	1667
722	4340	1663
723	4345	1656
724	4358	1653
725	4387	1655
726	4418	1659
727	4440	1658
728	4451	1654
729	4483	1658
730	4523	1664
731	4541	1662
732	4555	1659
733	4562	1653
734	4580	1651
735	4611	1653
736	4628	1651
737	4633	1644
738	4638	1638
739	4644	1631
740	4648	1624
741	4653	1618
742	4657	1611
743	4662	1604
744	4667	1597
745	4671	1590
746	4675	1583
747	4680	1576
748	4684	1569
749	4688	1562
750	4692	1555
751	4695	1548
752	4698	1541
753	4702	1534
754	4705	1527
755	4710	1520
756	4713	1513
757	4717	1506
758	4720	1498
759	4724	1491
760	4727	1484
761	4731	1477
762	4737	1471
763	4742	1464
764	4746	1458
765	4751	1451
766	4758	1445
767	4763	1438
768	4767	1432
769	4772	1425
770	4776	1418
771	4780	1411
772	4784	1404
773	4789	1398
774	4793	1391
775	4796	1384
776	4800	1377
777	4805	1371
778	4809	1364
779	4814	1357
780	4819	1351
781	4823	1344
782	4828	1338
783	4833	1331
784	4839	1325
785	4844	1318
786	4848	1312
787	4853	1305
788	4858	1299
789	4863	1292
790	4868	1286
791	4872	1279
792	4877	1273
793	4881	1266
794	4886	1260
795	4890	1253
796	4894	1246
797	4899	1240
798	4903	1233
799	4907	1226
800	4911	1220
801	4915	1213
802	4919	1206
803	4923	1200
804	4927	1193
805	4930	1186
806	4934	1180
807	4939	1173
808	4942	1166
809	4946	1160
810	4950	1153
811	4953	1146
812	4958	1140
813	4963	1134
814	4968	1127
